Number;Number 1;Number 2
77281;48306;2569
67371;15658;23313
32132;95381;85007
81037;12669;16618
57881;53698;26536
47160;1189;3852
41244;24431;73548
91155;32787;28856
2294;77972;26673
29897;18596;28210
62251;44489;36100
83784;1552;40229
51741;53003;38115
32928;29983;11719
66904;23092;63512
3994;68831;14039
5525;54671;28480
66967;86946;98585
5487;13580;1530
25524;17347;37594
97818;68108;16357
96205;27723;42866
82762;8927;86929
11921;79845;79121
46306;89423;52265
52824;64772;46099
67433;67165;57542
6738;29872;14299
3149;93124;66213
32251;56124;72284
94921;94782;46660
42239;8006;82427
54898;11164;35578
85766;31817;7650
70002;24600;23379
77628;31967;43421
46573;73881;71227
76654;44814;66135
77001;14888;89334
36057;88022;82161
46892;92683;16931
24436;96218;82936
73824;93125;35076
72599;44591;45300
67363;29062;55446
51243;85509;19799
73026;6654;42769
21943;71023;76620
38475;24509;83299
74289;81157;61467
37049;90268;58150
61559;99595;282
72536;11435;4017
56578;33964;63239
81690;41646;6493
3522;60711;98552
96115;69195;93972
45717;9259;24221
11524;88696;75437
21486;25538;33349
93453;60118;96293
65381;5621;5071
96865;55916;32458
70186;86234;51126
30413;56234;69752
57818;46215;46284
87340;57150;27611
7237;91493;93468
58472;99517;33671
53224;27440;78594
48477;98596;16072
12618;56817;40326
76049;22067;55265
24307;2445;87494
37219;41733;43793
44996;99591;23333
96421;94735;12360
67458;63712;29627
28374;80747;48418
16227;23035;4608
47165;73996;48075
29145;15444;72804
22169;82717;13330
691;35081;38851
96122;72322;94398
30772;80321;36917
34143;6200;58583
53033;40640;68823
66127;91827;83326
99629;35324;85480
12731;71714;26916
16387;1665;51976
40113;6790;40982
3458;33925;96530
65935;5523;66263
40098;54453;69493
24882;82828;56389
97677;87746;78088
4331;9641;35803
22832;37036;71834
63242;94522;26661
64481;26592;72897
18537;93575;79820
18152;58851;84791
37587;62143;21683
54894;34295;4941
56732;33406;36841
16903;27197;4078
74273;71265;60374
57759;32799;75355
18471;59659;25924
80700;46901;75249
94603;32230;86265
16543;58059;56790
12793;2377;97095
12498;91382;38365
76238;90592;21565
59780;16281;55213
9214;8331;49921
12925;76695;41721
65066;60748;37919
48528;63817;70117
65134;59235;25949
14112;71153;28352
98539;80146;53166
17911;44780;980
57978;40285;67239
53553;50949;82613
69479;59506;53341
71954;19602;34281
20148;36597;3698
26318;91801;82241
33981;53233;99751
42623;79739;79559
65995;4249;30617
18846;20062;55
844;21458;70449
772;83640;29620
70223;65275;68993
72809;38913;74294
53164;28178;55378
25024;76955;51198
73084;77935;97596
5801;72006;84168
26377;26357;24218
96787;96956;74556
92733;68278;31665
46794;24617;2668
10062;67225;63330
7852;11541;57708
41829;17521;5401
5660;68173;39226
84947;5195;53520
70633;88123;87164
82953;60136;68732
31066;5654;99471
14370;2460;66623
7550;62681;56454
8224;33850;51616
78289;86217;47253
80001;60960;87170
73847;48851;1344
55180;49764;31244
93612;41194;29598
57517;8555;59095
36379;46843;24931
43973;94083;14390
76939;90519;1824
10722;60122;55615
20941;63224;92475
94495;80752;88841
98281;62750;79864
71619;69482;96358
48820;63759;39959
66326;82431;51648
64601;36422;47150
81188;78029;86835
41117;58063;62292
36215;86074;7394
63598;10781;49069
66377;90463;44139
41817;32347;22314
98719;66577;67782
85475;60385;81489
85825;38783;39181
14867;21484;14996
97328;13926;50550
16335;57405;91231
1684;18815;23581
16898;14330;39511
6331;26634;87868
19002;19419;57675
93709;61859;68668
64384;43195;88676
74065;25824;50221
68550;4260;36578
44287;88706;72716
35024;65515;12147
1122;29888;15586
6141;54132;41384
33153;4363;1589
68591;85414;73549
64657;99014;88446
82441;5820;5371
2767;8656;92566
76111;14901;58522
96738;48820;10271
85333;82598;59282
67586;58459;12679
67700;2396;14574
19496;31797;62228
75356;94575;98658
12134;43778;6860
13752;32909;6397
90266;18176;86238
17942;84256;89645
17348;98312;65435
55710;10426;38570
33231;86781;53441
49354;5734;51868
56970;57415;70257
88313;55712;66660
47281;42549;6035
21020;58945;90082
62656;69437;2809
18263;85803;93693
55382;33173;32623
77902;60815;98087
44266;12440;4505
41628;29371;20835
23998;28733;16445
41863;29106;298
38364;31181;39415
5857;10634;32655
26790;25124;31523
52605;24948;87181
8171;430;73930
28211;42068;18668
57731;83951;69432
33961;19495;84506
86196;46045;85626
6418;81767;67550
74624;23666;68992
70981;75924;24049
48617;69037;55481
12325;83887;35661
57209;73253;5501
41924;19774;21245
12269;6315;33060
72252;87322;11294
84861;83763;24354
11790;95616;20203
56738;44377;90578
59801;72119;34056
30369;10550;12457
10690;51866;65539
22703;75629;19714
35458;60997;59737
64727;10953;36121
56756;68827;26002
46074;47566;87907
6555;27214;71041
69889;75262;13560
51218;164;3342
88214;61845;41534
83334;56485;69678
26294;40578;80066
13008;59940;66784
22902;64214;19592
18501;95893;7216
14613;24513;90725
73426;15849;41167
61739;19028;94971
4014;96055;56363
70460;37993;67412
94147;42235;59694
98314;12768;34092
41995;6203;80423
57712;18146;27968
4813;83746;69084
85108;54740;39133
91311;90654;97784
33870;53683;22356
56018;42819;3749
86546;4549;44127
84244;24352;97426
67247;44491;23707
21873;60595;22624
62625;89032;30767
68866;1491;57398
74266;88991;7705
28917;39741;81485
30401;95412;87905
22984;45028;42793
15879;95944;24154
9730;83144;25115
15458;96772;88805
47546;51729;61932
6278;63826;11305
82273;5673;62849
96739;82106;28318
1187;61439;7234
50793;49155;21895
80610;98513;48291
32288;40406;80617
99948;81338;21232
50962;79383;43102
15000;96315;6753
150;97765;86880
10830;10285;91130
34846;27092;76017
71279;60529;62615
93991;65249;15854
9271;75427;28591
36993;39907;99291
38253;45069;73536
51940;77973;14729
59374;25048;81981
45886;37686;2363
6641;50250;58964
47339;69263;68206
67020;69999;75251
66297;64713;92457
57053;88867;30566
71828;34620;19186
53148;79132;32676
84558;74648;91157
92467;7394;39546
99091;64569;23800
27052;49283;83570
77328;96891;74861
75544;22376;71969
25244;88606;92954
32898;25312;54993
52582;40235;88862
87439;33548;57488
29036;75045;51365
81416;63841;35979
23932;4031;5882
6190;11152;75828
2716;87719;49055
14379;54282;70013
6377;11167;57071
30348;26854;84408
30543;75640;10730
55890;21011;77985
85012;53112;66332
67830;44956;94375
31641;35723;17880
41952;57957;18634
56651;39294;50866
3825;35141;31902
39684;10614;57086
15129;51796;33551
44798;2541;49268
47026;33663;61738
94348;54298;25546
54109;58459;93929
15590;57592;64292
76066;84407;99936
61949;80726;6751
33635;57692;73668
62203;23292;20440
8099;8666;33971
47911;74765;6399
76946;7072;77720
85709;35344;31880
31800;71628;85023
41798;64698;81368
77073;20452;22411
99269;3868;75616
44337;41937;48370
51785;27906;68873
69840;243;2367
60139;16480;70662
7258;43752;73861
34488;57326;10362
12343;64815;75302
88989;27932;93229
39372;51286;48815
35189;62138;63632
45857;84686;70734
38712;83723;5969
52349;38151;50380
58032;47155;69620
23108;91581;77449
72154;74887;68628
22373;39748;38602
27798;60040;93876
28267;75698;60495
59907;65949;3385
64837;17540;12704
44937;58460;90555
4953;36561;37229
87968;61692;50424
46615;81722;26582
71253;9202;46796
28850;5172;55908
699;87943;4653
20720;58475;91328
62463;40546;50878
29623;51228;22782
9169;59310;84411
35292;67735;90095
62986;69824;829
35109;14973;52732
73367;82602;32471
72229;90599;90866
23046;27361;25376
28371;8553;23852
63845;30306;22635
81646;55707;38100
7007;55376;64658
99619;80087;69331
73912;45646;52200
83332;69058;69159
75858;8745;20953
86687;49276;14168
24595;49831;39809
93272;32599;47776
1932;64807;61501
5870;92504;72042
40863;4730;25896
36068;77981;46362
97357;14079;62768
74510;4731;5031
85376;60530;13375
837;32045;45070
90687;21822;76665
13003;32568;2501
59284;27337;31665
39482;48801;21716
99109;76664;25242
10826;82566;17381
8229;56170;18705
85271;1794;20863
43969;36659;89915
56731;79942;37363
93513;87787;44414
64784;92906;727
47643;71464;75837
85120;82351;218
6966;2800;57157
94854;17171;45898
87128;552;72025
87152;27574;4021
42696;24873;99227
39360;69528;76537
33403;54416;13001
11317;68591;3993
15460;82882;78440
33798;85588;77986
25951;38958;35417
91540;4869;31515
38490;20840;38624
91572;70091;42892
74698;45781;18260
34448;19177;38324
52259;93623;80715
10029;89487;81734
86463;63561;47487
9351;89130;51334
66158;4865;32362
54878;62894;96245
52483;5296;86277
24008;6697;54458
32260;70549;77277
16789;75652;23369
15266;72377;46846
82027;16241;27536
8597;77069;82971
80862;9967;40004
60890;15967;37413
85799;41373;15157
93929;66480;33460
15133;83655;49550
98053;59855;55402
66943;84409;74858
55575;24282;55375
30844;67125;93397
84274;77992;91949
87279;85680;67222
19559;43153;81641
26980;96090;90441
69023;56164;4606
57785;88078;39648
1061;95611;3232
87087;83227;77099
63357;10224;37591
3973;27028;93754
33231;62570;1452
14082;88012;10989
11269;45196;50849
98512;9042;45078
75735;83176;71514
76145;98217;1066
89446;86426;2067
99624;81759;71353
83985;10701;90090
24665;60840;84828
7076;34664;64840
48116;8401;12112
38150;62382;23807
17372;40998;86383
3801;7439;67691
51402;45100;81934
49100;84956;14374
48337;33474;26047
38025;38323;92233
82045;94124;15086
10965;10256;27121
49735;40914;59124
66228;53664;68063
33566;53601;92450
36081;31865;71609
44833;42466;22377
34177;28898;54452
36362;35103;3531
36077;55657;95859
48968;94424;92255
55557;27101;41273
44893;7299;44988
42483;31969;64167
20126;88308;93888
38366;2263;41694
86783;80719;15586
16441;6168;26156
49563;15918;13960
74617;1074;63990
52041;10178;33311
78272;57415;96040
74331;15466;70573
72811;65622;9870
23226;97097;80314
55815;36795;96474
19866;13553;58442
36568;39027;31018
23991;33987;82215
94302;59209;66700
9916;13070;13737
52663;14288;229
55159;45197;30164
91371;66675;83136
52339;5793;63100
15932;88895;55334
32213;30467;92311
27076;91017;19114
30358;45019;4573
95538;23;95127
20522;92325;19474
3418;36292;87201
7457;76927;96231
91935;41359;942
8282;16607;1018
35097;16442;90491
42664;71188;32888
58543;87848;26998
64325;75856;44043
67780;30152;29134
85336;43511;96777
20382;57164;16396
48208;81098;43245
42973;29204;88032
18226;92586;50647
71736;39728;48800
20363;41141;33981
98427;78407;70258
52372;22621;31001
89675;35536;27977
88743;95813;61788
65195;89460;36860
35813;8047;94763
14960;14531;97160
47023;14071;11703
37748;10820;24614
46407;83083;30989
76454;6296;14280
97524;71183;73615
28731;57270;80690
20714;79755;38993
35100;79459;31089
15772;68086;54213
52345;17062;254
52531;39857;65374
50715;77592;64143
73327;96125;78807
14943;79523;29786
16387;18526;62780
47499;53025;43267
92110;21666;98660
7386;24658;21440
90877;44884;37785
74011;59978;51707
63650;18409;79633
3527;55023;71020
5931;24449;88782
51718;80734;77677
50725;48678;88904
94393;89676;52261
34727;59629;82641
33646;70855;9030
86;16242;98189
80322;12914;10626
86489;46019;40810
19933;64769;4080
76768;3218;26069
84803;47529;75257
87353;33044;65997
88980;38658;72651
41444;71608;70812
86084;98437;90491
43471;62549;17619
9552;56962;32779
31514;45265;58727
781;41454;44503
46888;42627;75177
11610;96605;98666
15942;89002;18830
98941;86437;27628
20701;64294;25857
95941;6436;91078
37703;45020;66422
11744;53884;31616
44769;46565;95819
65520;40171;60583
22713;70022;37632
24087;66070;60900
4425;99935;42842
10212;8678;29417
25901;24676;23762
95953;1760;34319
35965;87510;66767
92870;17329;75575
43453;49128;61663
21268;82545;87475
77319;71110;65649
43466;96156;19399
51029;71626;68006
37777;21798;92002
69378;13379;53967
84743;9135;4036
3467;41214;9711
13477;25362;93612
42824;69211;98456
86605;56705;72242
1106;55888;21070
78065;5793;1833
91723;94654;65814
28561;13296;15623
37642;22212;5322
97440;2272;73005
52512;94062;54424
7573;33458;5546
45003;94959;2976
27540;75391;64440
12295;55452;54251
9889;79709;57360
56085;60888;93443
35951;16728;31567
90676;69692;66954
83408;58543;44506
52109;5772;59023
99445;35760;19233
79435;7158;29583
20247;45797;85721
54568;9872;94498
46155;11885;64586
83399;57466;17425
98417;88710;44944
66152;17905;34540
88935;33665;47489
89082;54965;97931
82012;1401;86753
99290;68188;34075
13585;97245;64007
67032;19614;15946
25244;75550;11314
66173;85843;77478
68640;22770;34875
66710;17585;44426
84196;25947;75128
81016;24204;56049
12236;45568;11322
28251;49281;21618
41234;16875;99069
82258;57473;97814
60892;71435;52345
58207;12692;82599
66964;78524;97356
36437;50909;92750
39190;61980;58625
48364;66371;99471
66534;62429;3665
73509;70201;49203
26346;66216;73828
81967;20777;28620
13510;31577;98064
78474;29897;12865
79619;45310;69753
75333;8576;75793
6131;52096;14132
8432;71327;83918
38672;83251;21495
4446;30176;60002
33240;13735;63088
33522;39300;25385
22659;81100;23670
46047;89504;29747
2916;2737;33675
33172;95633;23761
12281;12862;46532
93490;28619;92379
23637;57734;35950
65357;75109;63481
53054;40496;29131
56872;11460;84215
13476;29991;43973
98724;17353;53649
57996;9264;96353
89761;57559;81676
52635;88726;16506
10229;90543;76394
74604;95802;54572
41687;94841;44151
42874;57370;12674
51299;24017;46243
9289;75547;24916
75146;29738;51515
67696;82125;78880
88189;61908;33713
4726;72391;11425
38783;32512;70041
12606;50911;99263
19482;75274;89477
31860;64977;28089
99408;97792;42645
90659;16846;10552
19691;41644;47479
4616;66757;11081
11047;24232;40578
87031;24842;40230
34165;55968;31220
81231;23779;72684
8114;87109;98393
64042;55511;92906
20622;40911;2530
36704;16673;90476
88514;78221;90921
15761;67633;38840
98257;39010;15099
50241;92200;8842
139;89189;55002
5096;83514;45402
9409;51162;31463
54357;16422;92969
68818;36758;68086
30123;75749;22078
47277;38717;58735
76763;28495;53970
16306;62580;6782
70271;64104;53947
81668;270;86089
75943;88622;84645
9791;97750;68988
99331;16161;72970
29198;83134;6745
3010;3734;11988
36552;99729;51839
57879;60162;36087
43827;29784;89960
59253;6473;91134
94918;59548;38340
6187;55736;70414
96760;52424;93908
25137;63352;70580
51468;68557;71352
86474;51176;50648
45333;29233;44487
69718;54438;59039
565;65568;42729
8403;92308;37630
24853;61231;8821
67529;24375;13998
29583;14157;10593
5598;49581;90731
71806;5322;58291
30461;58508;65592
87412;64621;7840
34541;77763;88344
11126;52398;23451
12720;55147;60510
70322;8613;1803
55290;23816;69456
77837;50578;96446
57020;95093;45546
92436;95556;82981
24641;27628;82380
92380;63170;70303
55686;16801;96567
90603;75370;91488
58420;12980;9685
71101;54856;53294
16978;59919;44985
34189;51739;69859
36244;85174;43789
6876;31367;60458
56777;85506;32508
44685;41887;42168
31706;34320;92791
93982;17718;20885
69188;37697;52955
13312;17933;44060
70266;60315;36753
35679;80529;85893
7401;24263;5894
70404;321;51345
83236;95405;39923
66173;55856;11890
51007;66809;340
8851;35286;20785
77454;91892;78911
37668;1553;65221
47736;84194;38804
52632;34282;40423
412;71959;7216
14352;67706;89117
57844;57159;4636
64336;55568;23482
69294;99672;66704
37215;75258;79107
97661;36542;87382
87031;26309;64189
29194;14914;48705
62606;22423;68662
86388;48161;24207
20817;79127;11581
36650;67855;55105
39757;37546;81019
5135;94651;32694
17847;34565;87866
96771;10074;58994
84044;7935;86083
47237;99464;18045
70496;17170;15448
59878;66307;18667
8418;75349;49221
94467;59750;72245
35868;56681;22810
78456;97701;52748
13668;50219;87033
89300;54176;57704
67734;36767;81685
40251;23429;85167
61235;6073;57611
37770;66750;5280
83435;58684;23917
86126;73926;9682
11747;70852;80159
8620;49005;42430
97789;25737;23290
69538;67563;21271
49218;17869;75967
30904;81110;91914
16006;73201;81634
94896;46797;97526
25679;20189;98484
98201;14104;87854
28767;31443;17513
44302;57172;76764
56579;17256;56272
28066;88839;476
28894;8124;32380
43869;96292;77128
56478;74321;58703
34257;27007;8925
48841;45716;1276
26950;40823;11704
65656;67529;16164
77750;45891;77886
14842;65714;77246
41365;85049;2081
78197;71713;89244
93592;47492;20921
79713;75911;89939
22121;79325;95759
94916;84061;73880
16492;93635;63645
41998;64386;70492
63690;4676;7397
63751;50368;93461
75491;21706;10310
87077;20133;61411
56160;75242;48223
8317;49220;44547
50158;51044;86755
22372;40946;74220
92707;74053;36732
99639;15528;43424
80212;5787;26910
46234;97058;9724
89457;37351;61859
22824;44934;65751
60639;60939;88449
77209;93951;30561
91974;24077;6542
84729;3665;88653
15637;23419;11376
34087;4446;39105
81654;58555;38367
51263;58992;67764
63130;45813;41379
13195;63333;64355
46304;37369;85180
18689;90906;49588
51496;78992;17916
93555;50626;98056
72906;57386;76169
39450;12409;60629
53841;77367;52902
86053;27281;79065
93308;8930;97016
75419;90895;86119
28376;16937;78205
5704;43233;12567
98165;51837;65447
20875;3746;58499
75550;48143;13545
31786;95578;19033
27968;96491;71378
15253;16845;87042
24038;56727;33839
23425;53826;6010
53653;35356;42287
5185;12206;90426
22333;97296;54620
65199;1530;70000
40906;90747;45983
38521;72473;13089
29390;15028;74079
1403;59452;7926
79400;21315;31490
72395;56873;32157
4135;19914;77949
85017;77947;10561
78372;26942;94037
87919;71963;37665
224;77274;27729
67308;23747;47795
93381;14911;83407
75835;99501;96295
49702;72052;59847
2158;61223;62851
88541;59857;36419
43806;6551;50830
44925;51445;63705
59546;45515;27891
17424;85710;10499
50361;52431;14337
67372;37277;15941
70832;50481;98159
77133;80186;81194
97429;28513;16561
38998;29374;60271
13625;20690;589
98882;49790;74360
49863;18010;7340
46870;40189;43356
96857;13881;13246
54402;45009;2807
33304;87049;68161
69869;48368;3490
92939;39738;79797
17692;13610;99219
41391;16487;89073
94767;41154;69602
48702;87203;98483
38981;81833;80708
14091;72337;50073
23979;28191;66534
12400;58837;63800
48120;62936;40140
97969;12856;15956
92509;77034;75303
22066;11468;56835
89844;46340;13506
42664;6830;49948
82998;21479;39994
59960;76410;21979
51063;47422;43037
41688;85259;90401
89962;84388;66088
63343;20113;18562
32456;8273;9991
22569;5323;97505
84348;35212;48080
44483;19779;71662
87177;48240;28312
50330;80965;62541
16203;67227;98794
41277;86625;79878
17925;55487;97592
20951;61294;20155
63149;56646;54471
76118;98291;13324
1788;1557;41277
15264;57213;32856
36869;72019;75533
72003;1002;80840
54842;15108;85677
52377;81217;84998
14140;87430;4992
95914;786;6210
72397;72286;5175
29239;66184;90772
62011;1976;87372
19092;35536;35735
58439;78006;38026
35291;17340;49632
58766;37923;14597
43248;76849;6780
25173;96161;6598
23697;96853;77639
16611;78202;88241
34363;83084;21206
18177;35940;31272
90264;2687;41171
4036;13411;95825
81330;4663;98117
29734;62953;80587
73179;3054;5274
82795;14782;68771
79061;29052;5022
26566;68502;61328
70377;73998;21314
33119;92459;62795
50399;89455;76143
78410;58970;68703
5799;18775;34614
96885;71485;58932
50452;81359;2129
94866;17977;10342
18571;42679;72058
75785;65524;7690
91749;4516;76033
17856;48563;54522
33472;86849;91436
6035;98287;1868
69528;81987;26207
7608;42762;57147
38293;40121;66410
25645;66964;3451
14576;78036;57251
88408;72452;62178
36546;74139;22899
33945;38450;22363
33648;74220;6417
46005;53218;19522
76181;10220;84602
91097;46276;27878
29666;303;25408
88645;91850;19285
92732;64620;4860
2429;1191;27312
85017;66394;5963
85417;4835;76278
19500;28479;88351
31981;2322;9178
8057;37133;31213
98488;7257;73836
48358;78680;2750
65960;21846;98356
76452;99612;79647
20110;67942;61843
95228;57745;35138
21937;10958;39440
1137;2869;40072
32182;48427;81093
13102;83635;97368
61779;3579;31066
15652;22646;29546
16249;52328;4792
76885;92495;1711
36273;86741;60125
97052;55939;3040
16037;8983;27709
43131;10708;68530
68404;44266;21671
10979;6115;30763
55966;9667;13149
1649;92690;79935
12554;55322;57957
35170;15958;31673
82655;45184;51126
6502;27242;58178
73371;37849;81857
48867;91689;6829
39035;39385;93432
67538;60012;44284
16328;51628;50461
76928;58116;43104
59509;63585;11747
39420;57283;29659
52834;29809;69218
35116;23147;25495
22914;62533;82501
74780;88825;30365
20993;24906;11079
39821;65803;4412
21568;72281;52496
18436;3482;67854
83275;96042;37978
30573;49958;8309
99058;69794;39059
37213;86848;12254
66543;83934;43912
3519;81796;11785
75333;76277;77642
68528;76021;9645
71696;13836;20436
63704;16097;65731
49290;92011;65644
90891;33669;91947
72184;50262;81869
13990;45794;78518
84518;86839;61746
3436;28567;28954
91192;27313;73202
53786;23493;7008
97901;98351;89389
46496;17290;31508
90113;6989;90972
36685;45357;18549
37442;56569;69995
4133;79377;14368
35964;86703;35145
38173;87355;8109
80699;54422;84386
71932;22651;20648
12617;98564;78922
88890;18409;67423
23022;3053;59283
73804;6481;3144
96091;49435;79430
83928;7797;19178
1292;32826;47325
78995;7253;48851
40657;69908;76648
89877;12038;39834
39068;58732;5701
95497;81577;57010
3536;12326;90616
74318;90862;72707
10807;59862;29027
37334;29869;89892
59423;60136;85365
97221;24277;57381
25722;64709;39316
21966;98407;34322
36150;94387;72316
90357;44224;56388
63409;24212;41502
61774;37017;94856
26292;86836;97195
30922;89275;51893
32802;2912;8726
56572;27776;38361
12868;96135;35517
4239;87475;13322
61726;2041;66239
47286;64572;55340
86439;10068;90787
21067;71797;27016
42018;80157;64878
9949;14782;19457
28208;76436;21673
92056;98766;14770
1112;81024;3087
49041;84947;925
92389;66725;40829
13035;92008;72272
62433;53728;52360
99760;55698;67960
8058;82132;5234
94611;77710;6016
28772;98679;68896
52108;79053;4805
95519;33402;97878
91261;26628;60232
98494;81402;2309
29337;74166;71810
33598;14507;90693
88711;6610;98057
85604;44967;95943
82664;85349;72260
38520;10581;95844
872;31063;76825
43122;57124;92676
90331;738;44242
12584;99400;43159
74227;67031;18904
82344;69831;16586
38737;7731;31718
55796;15400;30952
34527;77057;26354
41117;53924;41618
35008;40848;5525
21969;69309;32939
117;43076;17617
63004;46548;34061
33025;30292;82536
11527;41206;13121
56872;98943;62238
55005;160;49589
4570;98328;5035
1517;49798;29661
80257;78934;72473
93912;977;68145
3408;17137;55785
75955;943;63017
50217;7694;52243
29184;85077;78262
11617;13512;87325
22853;8470;96885
23609;1519;68295
32630;92378;51480
9442;22702;83972
19995;59528;808
86372;97845;82249
65676;63835;56466
85473;3184;64133
4699;23339;86776
5233;78952;62052
41923;6421;51829
89433;57743;47834
38124;72657;25614
22175;40035;67167
89115;36028;76308
91530;89083;61067
47331;80014;51448
29119;53034;54093
72650;32368;7009
74547;48720;93562
93134;21977;605
54523;37901;89897
90857;44362;45747
4814;87750;96436
5945;97928;20138
74577;91219;76796
99589;93674;26871
35219;81155;27658
22736;77982;98168
22848;63583;78827
70348;530;14393
56117;96181;89781
641;92658;7446
3048;30038;81794
90557;61430;76042
64908;52107;96920
89162;41440;16619
10991;83741;80103
85749;23312;63444
55809;56509;23251
59596;52203;30111
95204;84450;37334
26365;48342;6339
65554;18229;40880
27824;54547;2075
13434;99411;53912
78676;43981;91307
22613;64300;10765
2415;47300;36307
82911;50126;6073
81033;15517;58974
40902;61155;77366
78978;18369;82165
16802;19677;98519
11086;88361;25520
29457;44470;65785
47583;71981;21518
19604;5192;67328
62820;73623;81592
99639;83355;17662
12803;75923;51968
238;94705;74649
37627;24635;98352
85623;36966;68657
59753;88706;6696
24809;40743;32236
50583;73080;6805
33098;20633;7940
17233;11391;23339
55927;30477;59827
15433;87644;19686
44868;19964;79410
10455;30342;2492
50239;40946;58656
81835;95872;74359
63189;18305;83037
52510;31394;69380
74805;92083;80764
19192;76578;34045
10820;62613;3590
56401;12173;93304
84835;72948;68380
42371;2574;51600
33668;19495;89605
11778;98022;82789
72752;93520;88181
43485;6252;37174
86654;43288;17137
87518;66459;98559
51422;70464;29195
12906;95754;99665
41761;21532;85580
99595;30016;89612
71087;96975;45036
54491;25985;7708
99898;13855;29616
9103;72421;68716
54962;95773;80352
84805;23161;86569
80899;49181;99748
26487;19221;91803
65978;29935;53460
19531;82886;16803
96703;61994;77972
76161;15396;33469
87476;80023;18861
58275;20578;7826
42389;55703;97611
67807;51592;66007
81057;32739;18915
46375;25871;86938
87531;71511;41303
54196;36555;92647
93458;13704;22279
56659;90995;96195
71491;20484;60886
57291;9023;32968
96360;74263;55010
7640;65219;87795
38355;43748;73533
51253;81997;97230
73318;93390;27950
81108;11547;79950
45149;76425;55111
76652;70005;78051
28658;11336;63565
2473;46586;47329
50492;60327;76735
25565;29417;52815
36178;74837;73709
69313;48904;81190
79703;96307;83813
79627;63401;76882
88240;49076;51630
85173;3789;15557
4701;88657;91220
42968;49456;16133
56589;50571;7140
65962;82117;27426
33855;90061;68135
24416;13534;80439
88689;95044;46862
47468;83714;86989
39357;46410;55944
87391;98604;16598
92848;87598;58227
7254;96620;81558
28767;12450;7426
42646;46387;86567
33290;50633;15356
30220;69660;79831
75356;77562;75611
41839;25502;16363
15580;27658;4699
29982;53021;42399
45219;67786;19584
53173;38214;50771
33796;1331;5853
7243;23005;78780
71541;3079;11985
93672;46154;51920
19106;52355;62817
45140;74873;96205
80897;64191;55021
86368;77131;12723
72829;3681;81835
92435;1237;82602
46410;25065;99740
89726;33681;76016
32765;63965;31201
82060;72938;74922
91002;51334;28845
20598;98518;44273
75909;18136;24205
31361;6108;47347
74591;53344;22645
47793;4221;10558
19677;90232;74898
69504;60226;25800
37243;64268;26327
31621;5733;20293
68286;37492;13281
95940;93001;31773
55522;71834;84485
64653;6827;8909
67220;34157;69069
96661;59343;24726
99128;1731;27443
96317;20156;43419
